College Name and Place,Logo Link
"{'Name': 'Motilal Nehru Government Polytechnic College', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1600148187logo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Karaikal Polytechnic College - [KPTC]', 'Location': 'Karaikal, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1600949937kptclogo.png?h=43&w=43&mode=stretch
"{'Name': 'Dr. B. R. Ambedkar Polytechnic College - [DBRAPC]', 'Location': 'Yanam, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1601273318croppeddrbralogo6.png?h=43&w=43&mode=stretch
"{'Name': 'Indira Gandhi Polytechnic College - [IGPTC]', 'Location': 'Mahe, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1601272398indra.png?h=43&w=43&mode=stretch
"{'Name': 'Sri Manakula Vinayagar Polytechnic College-[SMVPC]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1601357166LOGO.jpg?h=43&w=43&mode=stretch
"{'Name': 'Women’s Polytechnic College - [WPTC]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1602593001croppedPIPLOGO2e1545503915539.png?h=43&w=43&mode=stretch
"{'Name': 'Raak College of Engineering and Technology', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1639553529logo.png?h=43&w=43&mode=stretch
"{'Name': 'Jawaharlal Institute of Postgraduate Medical Education & Research - [JIPMER]', 'Location': 'Karaikal, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/16399825861568873405jipmerlogo.png?h=43&w=43&mode=stretch
"{'Name': 'Jawaharlal Institute of Postgraduate Medical Education & Research - [JIPMER]', 'Location': 'Karaikal, Puducherry'}",
"{'Name': 'Jawaharlal Institute of Postgraduate Medical Education & Research - [JIPMER]', 'Location': 'Karaikal, Puducherry'}",
"{'Name': 'Raak Arts and Science College', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1643713204RAAKLOGO.jpg?h=43&w=43&mode=stretch
"{'Name': 'Aditya Institute of Management Science and Research', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/16867200862821698191068695687067415087903425841985810n.jpeg?h=43&w=43&mode=stretch
"{'Name': 'East Coast Institute of Medical Sciences - [EIMS]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1693547256NewProject.png?h=43&w=43&mode=stretch
"{'Name': 'A.G.Padmavathi College of Nursing - [AGPCON]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1693559155Screenshotfrom20230901143051.png?h=43&w=43&mode=stretch
"{'Name': 'RAAK Nursing and Paramedical College', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1693564316Screenshotfrom20230901155711.png?h=43&w=43&mode=stretch
"{'Name': 'Pondicherry University Karaikal Campus', 'Location': 'Karaikal, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/16938281851693822727PULogoFull.png?h=43&w=43&mode=stretch
"{'Name': 'Pondicherry University Karaikal Campus', 'Location': 'Karaikal, Puducherry'}",
"{'Name': 'Pondicherry University Karaikal Campus', 'Location': 'Karaikal, Puducherry'}",
"{'Name': 'Pondicherry University Karaikal Campus', 'Location': 'Karaikal, Puducherry'}",
