College Name,Place,Logo Link
Elphinstone College,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/147066264731.png?h=43&w=43&mode=stretch
Dr. D.Y. Patil Vidya Pratishthan Society's,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1424586624jpeg.jpg?h=43&w=43&mode=stretch
Institute of Management Education Research and Training - [IMERT],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1502190089sdvcghsv.jpg?h=43&w=43&mode=stretch
GS College of Commerce,"Wardha, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/col15775.jpg?h=43&w=43&mode=stretch
Dr. Panjabrao Deshmukh Institute of Management Technology and Research - [PDIMTR],"Nagpur, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1501233639pdimtrlogo.jpg?h=43&w=43&mode=stretch
Jayawant Institute of Management Studies - [JIMS] Tathawade,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1502457756logo.png?h=43&w=43&mode=stretch
Sinhgad Institute of Management - [SIOM],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/14919073421491479229Logo01.png?h=43&w=43&mode=stretch
AISSMS Institute of Management - [AISSMS IOM],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1687945324Screenshot20230628151025.jpg?h=43&w=43&mode=stretch
Manikchand Pahade Law College,"Aurangabad, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/14704007171423543433mplc-logo1.jpg?h=43&w=43&mode=stretch
Sinhgad Law College,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1426853912Capture.jpg?h=43&w=43&mode=stretch
Sir JJ College of Architecture - [SJJCA],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/143019786211223scsxc.jpg?h=43&w=43&mode=stretch
Dr DY  Patil College of Agriculture Business Management,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1625745704dyplogo11.png?h=43&w=43&mode=stretch
AISSMS College of Hotel Management & Catering Technology - [AISSMS CHMCT],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1579263912CHMCT1.jpg?h=43&w=43&mode=stretch
